_RAJ2000 _DEJ2000 2MASS Jmag Hmag Kmag
100.209235 9.975471 06405021+0958316 15.626 15.232 14.839
100.222547 9.967142 06405341+0958017 15.552 15.007 14.673
100.247705 9.995965 06405944+0959454 12.781 12.093 11.685
100.239435 9.986929 06405746+0959129 16.865 15.713 15.461
100.239483 9.998551 06405747+0959547 17.423 0.227 0.146
100.242255 9.983304 06405814+0958598 17.046 15.85 15.009
100.236319 9.975887 06405671+0958331 15.556 14.88 14.624
100.225736 9.988287 06405417+0959178 14.483 13.738 13.351
100.227493 9.982964 06405459+0958586 15.32 14.06 13.646
100.232928 9.98119 06405590+0958522 16.483 15.247 15.112
100.161199 9.954152 06403868+0957149 15.83 15.306 15.211
100.155342 9.960575 06403728+0957380 14.61 13.981 13.740
100.139432 9.95073 06403346+0957026 14.692 14.083 13.814
100.134153 9.95613 06403219+0957220 14.751 14.033 13.757
100.157018 9.963611 06403768+0957489 13.71 13.249 13.002
100.149758 9.961409 06403594+0957410 16.564 15.531 15.474
100.147925 9.943473 06403550+0956365 14.866 14.326 13.842
100.160095 9.962638 06403842+0957454 7.858 7.403 7.331
100.168956 9.950901 06404054+0957032 14.58 14.085 13.643
100.15789 9.964294 06403789+0957514 14.719 14.377 13.998
100.16765 9.949037 06404023+0956565 16.499 15.91 14.953
100.13961 9.953924 06403350+0957141 15.117 14.607 14.210
100.144837 9.96174 06403476+0957422 13.603 13.049 12.923
100.178918 9.965644 06404294+0957563 14.468 13.794 13.588
100.164248 9.971496 06403941+0958173 16.73 15.904 15.379
100.176957 9.983638 06404246+0959010 16.611 15.78 15.291
100.178828 9.961566 06404291+0957416 17.027 15.867 15.279
100.159193 9.969149 06403820+0958089 16.331 15.329 15.213
100.178184 9.982005 06404276+0958552 15.686 15.372 14.829
100.169471 9.970906 06404067+0958152 16.603 15.539 15.296
100.185102 9.967901 06404442+0958044 16.638 15.824 15.231
100.170676 9.97467 06404096+0958288 15.866 15.234 14.852
100.17191 9.96872 06404125+0958073 16.84 15.957 15.512
100.155884 9.976353 06403741+0958348 16.33 15.709 15.547
100.181559 9.972153 06404357+0958197 14.696 13.896 13.569
