OBJECT_ID,2MASS,_RAJ2000,_DEJ2000,Jmag,Hmag,Kmag
3326932176297763584,06410179+1003023,100.257463,10.05065,15.803,15.088,14.866
3326740693772848896,06410188+0952480,100.257839,9.880014,9.254,9.23,9.204
3326740689481840896,06410190+0952394,100.257943,9.877631,14.481,13.593,13.180
3326716160919101824,06410194+0950037,100.258099,9.834384,14.314,13.741,13.507
3326740792561056128,06410206+0952508,100.258603,9.880803,10.493,10.44,10.364
3326932210657502848,06410208+1003116,100.258708,10.053234,14.771,14.098,13.828
3326739933562218496,06410220+0951519,100.259186,9.864431,11.202,10.775,10.618
3326929427525283328,06410221+0958240,100.259231,9.973348,15.839,14.587,13.989
3326739933567597056,06410223+0951456,100.259327,9.862678,14.638,14.116,13.781
3326739937858048384,06410245+0952249,100.26021,9.873611,14.167,13.516,13.274
3326931248584821120,06410248+1001165,100.260342,10.021275,16.336,15.336,15.059
3326740792561056512,06410253+0952475,100.260568,9.879864,14.563,13.99,13.640
3326739830483849856,06410260+0951026,100.260871,9.850731,14.203,13.658,13.375
3326739834779788160,06410266+0950329,100.261122,9.842475,15.189,14.632,14.284
3326741479751304704,06410283+0955221,100.261831,9.922831,14.561,13.927,13.615
3326931248584820480,06410285+1001355,100.261899,10.026547,16.343,15.611,15.399
3326740899930718336,06410286+0953527,100.261957,9.897989,13.779,13.112,12.884
3326931248591418624,06410288+1000521,100.262026,10.014489,16.75,15.634,15.149
3326740796851503872,06410290+0953360,100.262106,9.893361,13.922,13.201,12.996
3326929363096305408,06410328+0957549,100.263667,9.965272,13.053,12.377,12.239
3326931248584816000,06410334+1000478,100.263958,10.013297,15.386,14.712,14.272
3326741587125480960,06410336+0956529,100.26401,9.948028,13.814,13.193,13.035
3326741479751304960,06410354+0955320,100.264767,9.925567,15.609,14.402,13.961
3326931179865338752,06410357+1000353,100.264888,10.009828,13.423,12.809,12.531
3326929393158941056,06410393+0958094,100.266403,9.969294,12.99,12.314,12.064
3326931184161100160,06410399+1000485,100.266637,10.013475,16.221,15.034,14.743
3326739937858048000,06410417+0952020,100.267408,9.867225,12.772,12.149,11.946
3326739869138571904,06410440+0951501,100.268369,9.863919,10.737,10.3,10.145
3326739869138572032,06410443+0951260,100.268495,9.857247,12.488,11.881,11.713
3326740796851503744,06410446+0953183,100.268613,9.888441,12.979,12.266,11.981
3326739933563070720,06410449+0952127,100.268719,9.870214,14.938,14.382,14.167
3326741277887838080,06410456+0954438,100.26903,9.912191,9.523,9.255,8.909
3326931184162435200,06410457+1000426,100.269055,10.011855,13.971,13.353,13.090
3326740036642287104,06410483+0952254,100.270132,9.873735,15.115,14.51,14.281
3326932141938024960,06410496+1003005,100.270685,10.050144,15.753,15.165,14.956
3326739628620404352,06410497+0950460,100.27071,9.846135,12.244,11.539,11.090
3326739628618357248,06410497+0950460,100.27071,9.846135,12.244,11.539,11.090
3326739624325110528,06410510+0950302,100.271274,9.841735,15.152,14.579,14.359
3326739869138571776,06410510+0951445,100.27125,9.862385,12.744,12.128,11.979
